steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
89936,2497,0.5,2997,0.6661,0.06382,0.242,234,1115.8,1.0
137584,5475,1.0,1588,0.4892,0.09858,0.886,334,1825.5,1.0
187744,8610,1.5,1671,0.303,0.12634,1.37,426,2519.2,1.03
238832,11803,2.0,1703,0.1133,0.13528,1.76,505,3327.0,1.18
286544,14785,2.5,1590,0.0718,0.15273,2.262,562,4278.1,1.42
336288,17894,3.0,1658,0.0718,0.16622,2.834,619,4797.4,1.56
384800,20926,3.5,1617,0.0718,0.1817,2.993,664,5358.1,1.73
433072,23943,4.0,1609,0.0718,0.18812,3.38,713,5547.1,1.71
482608,27039,4.5,1651,0.0718,0.2003,4.103,766,5490.1,1.63
527712,29858,5.0,1503,0.0718,0.20434,4.489,813,5714.9,1.73
575472,32843,5.5,1592,0.0718,0.21581,4.597,862,5745.2,1.76
625504,35970,6.0,1667,0.0718,0.21789,4.553,904,5662.3,1.7
676336,39147,6.5,1694,0.0718,0.22577,5.047,953,5909.2,1.73
726528,42284,7.0,1673,0.0718,0.22991,5.439,1005,6346.4,1.85
773584,45225,7.5,1568,0.0718,0.22939,5.614,1046,6394.5,1.83
825104,48445,8.0,1717,0.0718,0.22933,6.075,1094,6803.3,1.87
874928,51559,8.5,1661,0.0718,0.23618,6.044,1143,6761.8,1.85
925520,54721,9.0,1686,0.0718,0.23485,6.007,1192,6055.8,1.64
975776,57862,9.5,1675,0.0718,0.2367,6.591,1240,6633.8,1.74
1022976,60812,10.0,1573,0.0718,0.23918,6.414,1284,6871.1,1.85
1073344,63960,10.5,1679,0.0718,0.21861,6.512,1329,6212.7,1.74
1121952,66998,11.0,1620,0.0718,0.20281,6.949,1375,6310.7,1.74
1165536,69722,11.5,1452,0.0718,0.18467,7.472,1409,6810.8,1.85
1215136,72822,12.0,1653,0.0718,0.18512,7.174,1454,6814.7,1.92
1261376,75712,12.5,1541,0.0718,0.1786,8.019,1491,6869.8,1.97
1306784,78550,13.0,1513,0.0718,0.1746,8.372,1527,7048.8,2.01
1354944,81560,13.5,1605,0.0718,0.16638,8.082,1564,8223.5,2.35
1403168,84574,14.0,1607,0.0718,0.16579,8.392,1605,8401.3,2.31
1434016,86502,14.5,1028,0.0718,0.16187,8.308,1626,8804.3,2.4
1446448,87279,15.0,414,0.0718,0.15825,8.885,1634,8886.8,2.43
1460720,88171,15.5,475,0.0718,0.15861,8.45,1646,8694.9,2.39
1473264,88955,16.0,418,0.0718,0.16499,9.07,1657,8649.8,2.38
1485840,89741,16.51,419,0.0718,0.16336,8.987,1665,8713.4,2.38
1498848,90554,17.01,432,0.0718,0.16508,9.004,1672,8792.3,2.41
1506576,91037,17.51,257,0.0718,0.16851,8.758,1682,9338.5,2.55
1518800,91801,18.01,407,0.0718,0.15968,9.36,1691,9245.0,2.53
1558368,94274,18.51,1319,0.0718,0.16918,8.666,1720,9346.9,2.62
1607856,97367,19.01,1650,0.0718,0.16442,9.045,1759,9389.0,2.57
1657504,100470,19.51,1655,0.0718,0.17118,8.969,1796,9504.0,2.61
1688896,102432,20.01,1046,0.0718,0.17129,9.352,1816,9750.8,2.68
1734032,105253,20.51,1504,0.0718,0.17313,9.57,1845,10345.7,2.86
1776064,107880,21.01,1401,0.0718,0.17115,9.514,1877,10500.1,2.91
1826784,111050,21.51,1690,0.0718,0.178,9.643,1915,10725.2,2.88
1880208,114389,22.01,1781,0.0718,0.1809,10.16,1962,9990.7,2.62
1933456,117717,22.51,1775,0.0718,0.1812,9.747,1999,9918.0,2.61
1989376,121212,23.01,1864,0.0718,0.19003,9.962,2036,10410.3,2.8
2036288,124144,23.51,1563,0.0718,0.19699,10.114,2064,11202.9,3.02
2090848,127554,24.01,1818,0.0718,0.19685,9.976,2100,11556.6,3.16
2146208,131014,24.51,1845,0.0718,0.20551,10.065,2142,11113.4,3.07
2200848,134429,25.01,1821,0.0718,0.20236,10.646,2180,10561.7,2.95
2250608,137539,25.51,1659,0.0718,0.20815,10.51,2217,10021.2,2.75
2307616,141102,26.01,1900,0.0718,0.21179,10.332,2255,10676.0,2.96
2364944,144685,26.51,1911,0.0718,0.20706,10.512,2297,10840.2,3.0
2422496,148282,27.01,1918,0.0718,0.21342,10.786,2336,11083.6,3.05
2479616,151852,27.51,1904,0.0718,0.21814,10.796,2375,11452.5,3.06
2528464,154905,28.01,1628,0.0718,0.21641,10.938,2409,11794.2,3.1
2583344,158335,28.51,1829,0.0718,0.21804,10.75,2445,12125.1,3.16
2639936,161872,29.01,1886,0.0718,0.21267,11.081,2483,11781.9,3.14
2696384,165400,29.51,1881,0.0718,0.22642,10.841,2519,12041.0,3.2
2750016,168752,30.02,1756,0.0718,0.22571,11.187,2561,11041.0,2.96
2807536,172347,30.52,1917,0.0718,0.22121,10.891,2597,11173.1,3.0
2865920,175996,31.02,1946,0.0718,0.22786,10.822,2636,11688.6,3.09
2922432,179528,31.52,1883,0.0718,0.22022,11.262,2679,11740.5,3.0
2979072,183068,32.02,1888,0.0718,0.23118,11.027,2710,12378.7,3.14
3031264,186330,32.52,1740,0.0718,0.22568,11.387,2745,12425.4,3.14
3086192,189763,33.02,1830,0.0718,0.21694,11.186,2781,13451.5,3.43
3142000,193251,33.52,1860,0.0718,0.224,11.241,2816,12989.7,3.31
3196688,196669,34.02,1822,0.0718,0.22532,11.148,2852,12718.2,3.29
3250016,200002,34.57,1625,0.0718,0.22389,11.311,2889,11958.5,3.14
3304704,203420,35.07,1823,0.0718,0.22045,11.5,2933,11870.0,3.02
3360944,206935,35.57,1874,0.0718,0.22091,11.281,2973,11827.7,2.91
3416848,210429,36.07,1863,0.0718,0.22389,11.21,3005,12064.5,3.01
3471872,213868,36.57,1834,0.0718,0.22657,11.539,3039,12157.4,3.1
3521792,216988,37.07,1664,0.0718,0.22011,11.423,3072,12724.9,3.26
3575136,220322,37.57,1778,0.0718,0.21789,11.526,3106,13071.5,3.35
3629136,223697,38.07,1800,0.0718,0.22,11.803,3140,13442.7,3.43
3684368,227149,38.57,1841,0.0718,0.23095,11.723,3178,12882.7,3.25
3736656,230417,39.07,1743,0.0718,0.23666,11.584,3205,12542.7,3.23
3785328,233459,39.57,1622,0.0718,0.23696,11.615,3237,12649.8,3.25
3842640,237041,40.07,1910,0.0718,0.23964,12.137,3276,12974.0,3.38
3899824,240615,40.57,1906,0.0718,0.23209,11.91,3313,13233.9,3.41
3955616,244102,41.07,1859,0.0718,0.23358,11.929,3346,12966.4,3.31
4005856,247242,41.57,1674,0.0718,0.227,12.085,3380,13368.8,3.38
4060304,250645,42.07,1815,0.0718,0.22601,12.169,3418,12691.9,3.19
4113536,253972,42.57,1774,0.0718,0.22933,12.134,3454,12510.1,3.19
4166560,257286,43.07,1767,0.0718,0.22729,11.867,3487,12693.0,3.24
4221056,260692,43.57,1816,0.0718,0.22928,12.216,3518,14022.2,3.54
4270112,263758,44.07,1635,0.0718,0.22426,12.102,3548,14014.7,3.5
4323344,267085,44.57,1774,0.0718,0.22916,12.372,3584,13902.4,3.57
4377920,270496,45.07,1819,0.0718,0.22755,12.31,3618,12932.3,3.37
4432960,273936,45.57,1834,0.0718,0.23079,12.245,3653,13152.4,3.42
4485936,277247,46.07,1766,0.0718,0.233,12.271,3688,13444.7,3.43
4536256,280392,46.57,1677,0.0718,0.23121,12.271,3723,13330.7,3.43
4592896,283932,47.07,1887,0.0718,0.23011,12.139,3757,13159.2,3.33
4647952,287373,47.57,1835,0.0718,0.23127,12.233,3792,13452.2,3.44
4705568,290974,48.07,1920,0.0718,0.23892,12.247,3831,13499.1,3.4
4754992,294063,48.57,1647,0.0718,0.24062,12.066,3861,12920.6,3.26
4810032,297503,49.07,1835,0.0718,0.24091,12.209,3904,12640.2,3.1
4863312,300833,49.57,1776,0.0718,0.23978,12.307,3941,12098.0,2.94
4919968,304374,50.07,1888,0.0718,0.24454,12.535,3977,12466.7,3.11
4977056,307942,50.57,1903,0.0718,0.24299,12.105,4016,12948.8,3.25
5025216,310952,51.07,1605,0.0718,0.24033,12.507,4050,13115.0,3.27
5079328,314334,51.57,1803,0.0718,0.24632,12.497,4086,12949.5,3.19
5133888,317744,52.07,1818,0.0718,0.24426,12.06,4121,12827.0,3.17
5187616,321102,52.57,1791,0.0718,0.24204,12.169,4155,13345.1,3.36
5241024,324440,53.07,1780,0.0718,0.23579,12.123,4187,12711.8,3.25
5289216,327452,53.57,1606,0.0718,0.24035,12.474,4227,12657.1,3.25
5344496,330907,54.07,1842,0.0718,0.24778,12.626,4260,12797.2,3.18
5400192,334388,54.57,1856,0.0718,0.24638,12.695,4297,13330.3,3.27
5456240,337891,55.07,1868,0.0718,0.25065,12.53,4336,13566.2,3.3
5506464,341030,55.57,1674,0.0718,0.24495,12.963,4372,13123.1,3.22
5560784,344425,56.07,1810,0.0718,0.25387,12.817,4404,13536.1,3.33
5616448,347904,56.57,1855,0.0718,0.2607,12.975,4441,13499.4,3.34
5672592,351413,57.07,1871,0.0718,0.26455,12.919,4480,13169.5,3.27
5728368,354899,57.57,1859,0.0718,0.2675,12.828,4522,13054.2,3.2
